UniqeIdentifier,No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,Ph.Sweep,Sp.Sweep,Wall,Ph.Tank,Sp.Tank,PrimaryType,SecondaryType,Ability,Ability Gen,Ability Category,Activation Requirement,Gen,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary,final_stage,regional_form
1bulbasaurOvergrow1,1,Bulbasaur,bulbasaur,45,49,49,65,65,45,94,110,159,98,130,grass,poison,Overgrow,3,Conditional Power Boosts,Yes,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.7,6.9,45,50,2560,Medium Slow,0,0,0,0
1bulbasaurChlorophyll1,1,Bulbasaur,bulbasaur,45,49,49,65,65,45,94,110,159,98,130,grass,poison,Chlorophyll,3,Stats Affected,Yes,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.7,6.9,45,50,2560,Medium Slow,0,0,0,0
2ivysaurOvergrow1,2,Ivysaur,ivysaur,60,62,63,80,80,60,122,140,203,125,160,grass,poison,Overgrow,3,Conditional Power Boosts,Yes,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,13,45,50,2560,Medium Slow,0,0,0,0
2ivysaurChlorophyll1,2,Ivysaur,ivysaur,60,62,63,80,80,60,122,140,203,125,160,grass,poison,Chlorophyll,3,Stats Affected,Yes,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,13,45,50,2560,Medium Slow,0,0,0,0
3venusaurOvergrow1,3,Venusaur,venusaur,80,82,83,100,100,80,162,180,263,165,200,grass,poison,Overgrow,3,Conditional Power Boosts,Yes,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,2,100,45,50,2560,Medium Slow,1,0,1,0
3venusaurChlorophyll1,3,Venusaur,venusaur,80,82,83,100,100,80,162,180,263,165,200,grass,poison,Chlorophyll,3,Stats Affected,Yes,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,2,100,45,50,2560,Medium Slow,1,0,1,0
4charmanderBlaze1,4,Charmander,charmander,39,52,43,60,50,65,117,125,132,95,110,fire,,Blaze,3,Conditional Power Boosts,Yes,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.6,8.5,45,50,2560,Medium Slow,0,0,0,0
4charmanderSolar Power1,4,Charmander,charmander,39,52,43,60,50,65,117,125,132,95,110,fire,,Solar Power,4,Stats Affected,Yes,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.6,8.5,45,50,2560,Medium Slow,0,0,0,0
5charmeleonBlaze1,5,Charmeleon,charmeleon,58,64,58,80,65,80,144,160,181,122,145,fire,,Blaze,3,Conditional Power Boosts,Yes,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.1,19,45,50,2560,Medium Slow,0,0,0,0
5charmeleonSolar Power1,5,Charmeleon,charmeleon,58,64,58,80,65,80,144,160,181,122,145,fire,,Solar Power,4,Stats Affected,Yes,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.1,19,45,50,2560,Medium Slow,0,0,0,0
