No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,PrimaryType,SecondaryType,Ability1,Ability2,HiddenAbility,Generation,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary
1,Bulbasaur,bulbasaur,45,49,49,65,65,45,grass,poison,Overgrow,,Chlorophyll,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.7,6.9,45,50,2560,Medium Slow,0,0
2,Ivysaur,ivysaur,60,62,63,80,80,60,grass,poison,Overgrow,,Chlorophyll,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,13,45,50,2560,Medium Slow,0,0
3,Venusaur,venusaur,80,82,83,100,100,80,grass,poison,Overgrow,,Chlorophyll,1,88,12,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,2,100,45,50,2560,Medium Slow,1,0
4,Charmander,charmander,39,52,43,60,50,65,fire,,Blaze,,Solar Power,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.6,8.5,45,50,2560,Medium Slow,0,0
5,Charmeleon,charmeleon,58,64,58,80,65,80,fire,,Blaze,,Solar Power,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.1,19,45,50,2560,Medium Slow,0,0
6,Charizard,charizard,78,84,78,109,85,100,fire,flying,Blaze,,Solar Power,1,88,12,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,1.7,90.5,45,50,2560,Medium Slow,1,0
7,Squirtle,squirtle,44,48,65,50,64,43,water,,Torrent,,Rain Dish,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,9,45,50,2560,Medium Slow,0,0
8,Wartortle,wartortle,59,63,80,65,80,58,water,,Torrent,,Rain Dish,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,22.5,45,50,2560,Medium Slow,0,0
9,Blastoise,blastoise,79,83,100,85,105,78,water,,Torrent,,Rain Dish,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.6,85.5,45,50,2560,Medium Slow,1,0
10,Caterpie,caterpie,45,30,35,20,20,45,bug,,Shield Dust,,Run Away,1,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.3,2.9,255,50,1920,Medium Fast,0,0
11,Metapod,metapod,50,20,55,25,25,30,bug,,Shed Skin,,,1,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.7,9.9,120,50,1920,Medium Fast,0,0
12,Butterfree,butterfree,60,45,50,90,80,70,bug,flying,Compoundeyes,,Tinted Lens,1,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.1,32,45,50,1920,Medium Fast,0,0
13,Weedle,weedle,40,35,30,20,20,50,bug,poison,Shield Dust,,Run Away,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.3,3.2,255,50,1920,Medium Fast,0,0
14,Kakuna,kakuna,45,25,50,25,25,35,bug,poison,Shed Skin,,,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.6,10,120,50,1920,Medium Fast,0,0
15,Beedrill,beedrill,65,90,40,45,80,75,bug,poison,Swarm,,Sniper,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1,29.5,45,50,1920,Medium Fast,1,0
16,Pidgey,pidgey,40,45,40,35,35,56,normal,flying,Keen Eye,Tangled Feet,Big Pecks,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,1.8,255,50,1920,Medium Slow,0,0
17,Pidgeotto,pidgeotto,63,60,55,50,50,71,normal,flying,Keen Eye,Tangled Feet,Big Pecks,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.1,30,120,50,1920,Medium Slow,0,0
18,Pidgeot,pidgeot,83,80,75,70,70,101,normal,flying,Keen Eye,Tangled Feet,Big Pecks,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.5,39.5,45,50,1920,Medium Slow,1,0
19,Rattata,rattata,30,56,35,25,35,72,normal,,Run Away,Guts,Hustle,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.3,3.5,255,50,1920,Medium Fast,0,0
20,Raticate,raticate,55,81,60,50,70,97,normal,,Run Away,Guts,Hustle,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.7,18.5,127,50,1920,Medium Fast,0,0
21,Spearow,spearow,40,60,30,31,31,70,normal,flying,Keen Eye,,Sniper,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,2,255,50,1920,Medium Fast,0,0
22,Fearow,fearow,65,90,65,61,61,100,normal,flying,Keen Eye,,Sniper,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.2,38,90,50,1920,Medium Fast,0,0
23,Ekans,ekans,35,60,44,40,54,55,poison,,Intimidate,Shed Skin,Unnerve,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,2,6.9,255,50,2560,Medium Fast,0,0
24,Arbok,arbok,60,95,69,65,79,80,poison,,Intimidate,Shed Skin,Unnerve,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,3.5,65,90,50,2560,Medium Fast,0,0
25,Pikachu,pikachu,35,55,40,50,50,90,electric,,Static,,Lightning Rod,1,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.4,6,190,50,1280,Medium Fast,0,0
26,Raichu,raichu,60,90,55,90,80,110,electric,,Static,,Lightning Rod,1,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.7,21,75,50,1280,Medium Fast,0,0
27,Sandshrew,sandshrew,50,75,85,20,30,40,ground,,Sand Veil,,Sand Rush,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.7,40,255,50,2560,Medium Fast,0,0
28,Sandslash,sandslash,75,100,110,45,55,65,ground,,Sand Veil,,Sand Rush,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1.2,55,90,50,2560,Medium Fast,0,0
29,Nidoran♀,nidoranf,55,47,52,40,40,41,poison,,Poison Point,Rivalry,Hustle,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.4,7,235,50,2560,Medium Slow,0,0
30,Nidorina,nidorina,70,62,67,55,55,56,poison,,Poison Point,Rivalry,Hustle,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.8,20,120,50,2560,Medium Slow,0,0
31,Nidoqueen,nidoqueen,90,92,87,75,85,76,poison,ground,Poison Point,Rivalry,Sheer Force,1,0,100,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,1.3,60,45,50,2560,Medium Slow,0,0
32,Nidoran♂,nidoranm,46,57,40,40,40,50,poison,,Poison Point,Rivalry,Hustle,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.5,9,235,50,2560,Medium Slow,0,0
33,Nidorino,nidorino,61,72,57,55,55,65,poison,,Poison Point,Rivalry,Hustle,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.9,19.5,120,50,2560,Medium Slow,0,0
34,Nidoking,nidoking,81,102,77,85,75,85,poison,ground,Poison Point,Rivalry,Sheer Force,1,100,0,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,1.4,62,45,50,2560,Medium Slow,0,0
35,Clefairy,clefairy,70,45,48,60,65,35,fairy,,Cute Charm,Magic Guard,Friend Guard,1,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.6,7.5,150,140,1280,Fast,0,0
36,Clefable,clefable,95,70,73,95,90,60,fairy,,Cute Charm,Magic Guard,Unaware,1,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,1.3,40,25,140,1280,Fast,0,0
37,Vulpix,vulpix,38,41,40,50,65,65,fire,,Flash Fire,,Drought,1,25,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.6,9.9,190,50,2560,Medium Fast,0,0
38,Ninetales,ninetales,73,76,75,81,100,100,fire,,Flash Fire,,Drought,1,25,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.1,19.9,75,50,2560,Medium Fast,0,0
39,Jigglypuff,jigglypuff,115,45,20,45,25,20,normal,fairy,Cute Charm,Competitive,Friend Guard,1,25,75,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0.5,5.5,170,50,1280,Fast,0,0
